数据库：分省年度数据
指标：3G移动电话用户(万户)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,502.9,849.6,1906.9,1461.0,855.4,464.7,226.8,84.5,
天津市,,223.6,349.4,763.0,483.5,296.4,188.3,61.8,38.8,
河北省,,775.4,1283.8,2044.2,2003.5,1077.2,550.1,166.8,43.7,
山西省,,374.2,699.8,1466.3,952.0,547.6,292.4,120.8,21.2,
内蒙古自治区,,338.3,501.2,853.7,736.4,451.3,257.6,145.9,18.5,
辽宁省,,520.5,904.6,1606.3,1419.2,893.1,547.7,194.8,43.4,
吉林省,,338.6,499.8,929.1,606.0,391.0,240.6,101.4,14.9,
黑龙江省,,483.9,705.6,1094.4,837.4,471.7,268.8,90.4,19.2,
上海市,,512.5,822.1,1340.5,1147.4,748.2,464.7,199.9,62.5,
江苏省,,897.8,1676.9,3173.6,2867.6,1807.6,1015.3,373.1,90.7,
浙江省,,714.6,1371.0,2554.0,2359.9,1328.8,799.7,293.6,79.5,
安徽省,,545.7,886.8,1678.5,1394.1,853.4,442.4,119.1,23.0,
福建省,,448.7,746.1,1511.8,1326.1,839.5,448.8,150.0,42.4,
江西省,,307.1,622.2,1150.7,938.2,507.0,249.4,73.7,14.9,
山东省,,1250.3,1970.0,3262.1,2592.4,1516.8,881.2,371.2,93.1,
河南省,,1031.8,1574.6,3002.6,2314.4,1144.6,548.2,199.6,68.9,
湖北省,,567.0,948.5,1716.6,1509.3,873.9,491.4,155.3,42.6,
湖南省,,384.6,1108.3,2037.7,1580.5,899.8,475.0,160.7,30.3,
广东省,,1578.6,3089.1,4981.2,4469.1,2784.3,1659.4,622.1,176.2,
广西壮族自治区,,442.9,666.7,1359.0,1067.4,560.7,278.6,98.8,18.9,
海南省,,99.6,178.4,390.6,314.7,198.8,106.6,31.8,9.6,
重庆市,,338.4,600.6,1078.8,854.1,441.8,244.4,91.4,21.7,
四川省,,1340.8,1688.6,2447.0,1936.0,1062.8,584.5,194.9,37.9,
贵州省,,307.2,533.9,1014.1,761.2,386.6,186.1,56.3,12.2,
云南省,,448.1,708.7,1286.5,1084.6,571.8,272.3,88.8,16.2,
西藏自治区,,162.7,130.3,336.7,96.4,41.7,19.3,7.7,1.6,
陕西省,,441.7,629.6,1132.3,1325.9,805.6,395.9,127.5,37.1,
甘肃省,,334.6,454.6,939.2,608.9,308.7,152.7,52.8,14.0,
青海省,,104.7,152.8,454.9,184.2,90.7,44.2,14.0,3.5,
宁夏回族自治区,,83.3,141.1,302.7,218.0,104.7,52.9,18.2,3.7,
新疆维吾尔自治区,,1180.5,1078.5,709.7,709.7,399.1,182.6,55.4,10.5,
数据来源：国家统计局
