数据库：分省年度数据
指标：互联网上网人数(万人)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,1690,1647,1593,1556,1458,1379,1218,1103,980
天津市,,999,956,904,866,793,719,648,564,485
河北省,,3956,3731,3603,3389,3008,2597,2197,1842,1334
山西省,,2035,1975,1838,1755,1589,1405,1250,1064,819
内蒙古自治区,,1311,1259,1142,1093,965,854,747,575,385
辽宁省,,2741,2731,2580,2453,2199,2092,1916,1595,1138
吉林省,,1402,1313,1243,1163,1062,966,882,726,520
黑龙江省,,1835,1707,1599,1514,1329,1206,1127,912,620
上海市,,1791,1773,1716,1683,1606,1525,1239,1171,1110
江苏省,,4513,4416,4274,4095,3952,3685,3306,2765,2084
浙江省,,3632,3596,3458,3330,3221,3052,2786,2452,2108
安徽省,,2721,2395,2225,2150,1869,1585,1392,1069,723
福建省,,2678,2648,2471,2402,2280,2102,1848,1629,1379
江西省,,2035,1759,1543,1468,1267,1088,950,790,610
山东省,,5207,4789,4634,4329,3866,3625,3332,2769,1983
河南省,,4110,3703,3474,3283,2856,2582,2417,2007,1283
湖北省,,3009,2723,2625,2491,2309,2129,1902,1469,1050
湖南省,,3013,2685,2579,2410,2200,1936,1747,1406,999
广东省,,8024,7768,7286,6992,6627,6300,5324,4860,4554
广西壮族自治区,,2213,2033,1848,1774,1586,1353,1226,1030,734
海南省,,470,466,421,411,384,338,303,244,216
重庆市,,1556,1445,1357,1293,1195,1068,990,803,598
四川省,,3575,3260,3022,2835,2562,2229,1998,1635,1103
贵州省,,1524,1346,1222,1146,991,840,751,573,433
云南省,,1892,1761,1643,1528,1321,1140,1021,844,548
西藏自治区,,149,142,123,115,101,90,81,53,47
陕西省,,1989,1886,1745,1689,1551,1429,1295,995,790
甘肃省,,1101,1005,951,894,795,700,655,535,327
青海省,,320,318,289,274,238,208,188,154,130
宁夏回族自治区,,339,326,295,283,258,207,175,141,102
新疆维吾尔自治区,,1296,1262,1139,1094,962,882,819,634,625
数据来源：国家统计局
