数据库：分省年度数据
指标：互联网宽带接入用户(万户)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,475.8,491.9,482.4,480.4,473.7,510.8,,,
天津市,,283.9,249.8,208.8,188.4,204.8,186.7,,,
河北省,,1612.0,1317.2,1127.6,1031.6,963.9,824.5,,,
山西省,,747.2,723.9,571.1,521.3,504.8,416.1,,,
内蒙古自治区,,417.2,365.7,316.8,284.4,274.8,231.0,,,
辽宁省,,971.7,860.5,772.1,726.9,707.9,655.1,,,
吉林省,,440.0,427.3,414.9,379.6,364.6,307.4,,,
黑龙江省,,575.1,519.5,484.6,459.6,435.8,385.4,,,
上海市,,635.7,568.8,532.2,511.1,541.0,493.5,,,
江苏省,,2685.2,2346.3,1523.4,1431.3,1350.7,1171.0,,,
浙江省,,2159.7,1906.8,1276.1,1242.7,1152.6,1019.7,,,
安徽省,,1075.0,913.3,563.8,546.8,507.0,432.6,,,
福建省,,1144.6,1044.8,899.2,835.6,738.0,605.2,,,
江西省,,822.5,710.9,434.2,410.1,372.0,313.0,,,
山东省,,2366.5,1980.8,1523.9,1465.1,1364.1,1154.1,,,
河南省,,1767.2,1489.0,1087.9,1000.5,927.6,784.5,,,
湖北省,,1131.9,1014.4,869.7,813.3,708.0,580.1,,,
湖南省,,1066.9,910.5,744.9,702.4,604.4,483.1,,,
广东省,,2779.4,2682.7,2174.1,2081.7,1903.6,1643.9,,,
广西壮族自治区,,790.0,715.8,592.4,559.6,507.1,414.8,,,
海南省,,186.5,149.5,120.3,110.9,95.5,80.4,,,
重庆市,,704.7,602.7,475.4,438.8,388.1,319.9,,,
四川省,,1851.2,1424.0,883.1,835.2,823.0,668.4,,,
贵州省,,459.5,386.8,310.9,292.4,243.9,204.8,,,
云南省,,655.3,537.3,424.9,404.7,375.5,298.0,,,
西藏自治区,,40.2,29.6,22.1,19.1,17.1,12.8,,,
陕西省,,803.0,689.9,552.4,506.2,439.6,369.8,,,
甘肃省,,392.9,302.7,213.9,192.2,163.3,133.6,,,
青海省,,99.7,82.3,61.4,54.9,49.9,41.6,,,
宁夏回族自治区,,111.9,92.5,78.2,71.1,60.9,52.2,,,
新疆维吾尔自治区,,468.4,409.5,305.7,293.0,255.0,206.1,,,
数据来源：国家统计局
