数据库：分省年度数据
指标：互联网宽带接入端口(万个)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,1784.0,1580.5,1159.9,1186.8,1076.8,801.8,633.4,563.2,455.3
天津市,,724.3,470.2,397.7,353.9,461.7,367.9,230.0,184.5,163.1
河北省,,3841.1,2948.5,2204.7,2049.3,1756.0,1150.4,924.3,724.0,466.8
山西省,,1582.9,1345.9,996.8,881.7,737.4,639.2,502.8,377.7,283.0
内蒙古自治区,,1200.7,916.0,739.9,677.2,548.7,409.3,267.0,179.8,135.9
辽宁省,,3239.5,2710.8,2083.5,1631.4,1267.5,981.3,793.4,596.8,426.6
吉林省,,1560.7,987.2,806.0,695.0,635.6,498.8,362.2,288.1,216.6
黑龙江省,,1964.9,1308.8,1044.0,865.2,771.7,640.6,498.4,367.4,293.8
上海市,,1595.7,1464.8,1404.5,1374.6,1491.5,706.4,819.1,662.4,611.3
江苏省,,5676.8,4697.3,3503.3,3063.2,2892.4,2064.2,1806.4,1092.5,954.5
浙江省,,4720.6,4768.9,2632.6,2447.4,2250.4,1458.2,1316.6,947.3,822.0
安徽省,,2527.3,2211.5,1175.7,1124.6,1063.8,732.8,609.5,471.9,248.3
福建省,,2482.3,2335.3,1618.7,1439.4,1439.8,910.3,747.1,471.8,411.7
江西省,,2055.6,1693.2,975.1,868.6,719.3,562.0,358.9,281.8,219.1
山东省,,4680.0,4003.4,2949.1,2537.0,2144.9,1756.4,1424.0,1028.9,743.5
河南省,,4345.8,3241.9,2016.4,1747.0,1435.7,1104.1,875.8,693.2,497.3
湖北省,,2594.7,2061.1,1266.1,1153.2,1023.5,746.1,588.4,433.3,327.4
湖南省,,2395.3,1931.8,1498.3,1219.6,1070.2,780.3,468.7,389.9,322.8
广东省,,6515.6,4765.5,3597.7,3325.2,3158.1,2519.4,2185.8,1733.4,1442.3
广西壮族自治区,,2094.9,1530.9,1126.2,978.8,848.0,590.2,494.1,402.4,270.7
海南省,,522.9,398.4,223.9,198.6,168.9,127.6,111.3,77.3,55.4
重庆市,,1643.6,1349.4,963.4,778.8,648.8,482.7,401.1,291.7,230.9
四川省,,3709.6,3117.9,2200.4,1775.7,1316.3,979.1,767.8,507.7,391.0
贵州省,,1113.9,875.8,580.6,494.2,466.8,427.0,228.9,163.6,125.8
云南省,,1674.4,1151.1,741.3,736.9,663.7,443.8,325.9,247.1,205.5
西藏自治区,,107.2,51.0,48.1,44.1,41.0,26.7,17.8,15.7,11.5
陕西省,,2083.1,1539.3,1070.4,940.9,803.6,621.2,484.9,273.9,238.4
甘肃省,,946.0,820.5,473.2,460.3,430.8,251.4,172.4,121.4,108.4
青海省,,262.2,208.1,134.2,117.8,105.6,62.0,51.6,32.8,25.6
宁夏回族自治区,,307.1,200.8,180.3,150.3,122.1,79.0,56.6,38.9,31.5
新疆维吾尔自治区,,1323.9,1023.8,734.3,628.6,548.1,319.1,256.7,175.1,154.6
数据来源：国家统计局
