数据库：分省年度数据
指标：固定本地电话通话时长(万分钟)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,982480.7,1170771.9,1357050.9,1552173.3,1595320.0,1711809.0,,,
天津市,,214276.6,256826.0,295601.8,394316.6,442120.0,530598.4,,,
河北省,,1147269.4,1148132.7,1167897.1,1261319.0,1429276.0,1677556.3,,,
山西省,,231415.1,302973.6,376373.0,300213.8,378732.0,522126.2,,,
内蒙古自治区,,225098.6,269259.4,291116.2,193391.5,216883.0,271367.3,,,
辽宁省,,689626.7,966695.4,1118689.2,1442581.9,2504527.0,2216738.7,,,
吉林省,,177721.4,208921.0,252543.9,302944.9,364495.0,510445.9,,,
黑龙江省,,367881.5,447399.8,519884.6,771139.4,776277.0,928091.5,,,
上海市,,1337556.7,1535207.8,1791993.5,2120019.3,2307078.0,2574301.6,,,
江苏省,,1470826.1,1657184.0,1919145.6,2168380.6,2457575.0,2989431.9,,,
浙江省,,1154884.6,1313687.9,1497392.3,1799452.1,2069449.0,2344077.0,,,
安徽省,,527898.0,664063.2,777231.2,890756.2,1048857.0,1249371.2,,,
福建省,,745851.4,885595.0,1025201.7,1137782.2,1363069.0,1677405.9,,,
江西省,,361606.3,394001.7,452177.7,506376.5,584036.0,698077.6,,,
山东省,,1186112.4,1480698.3,1800313.3,2018799.2,2067678.0,2654146.5,,,
河南省,,684049.9,896886.7,1186388.2,1424007.2,2225320.0,3025893.9,,,
湖北省,,577238.1,715952.2,822648.2,867371.0,941633.0,1060705.7,,,
湖南省,,639442.1,827171.2,990178.8,1152053.1,1416495.0,1769584.7,,,
广东省,,2348258.5,2900589.0,3457759.3,4060509.9,4697473.0,5539441.3,,,
广西壮族自治区,,488057.6,698949.4,703771.5,794127.7,989943.0,1226124.4,,,
海南省,,93662.0,129503.8,151884.4,203157.3,278940.0,322055.5,,,
重庆市,,429717.8,512906.2,575456.1,684736.3,759172.0,888804.7,,,
四川省,,962545.6,1076652.5,1212755.0,1417093.0,1593467.0,1886400.2,,,
贵州省,,204396.7,237685.0,260953.1,268033.9,298018.0,363449.5,,,
云南省,,346857.6,401900.5,461960.6,526362.3,624095.0,745238.3,,,
西藏自治区,,10455.8,20804.2,26042.9,36733.7,50400.0,59752.4,,,
陕西省,,518478.8,604670.7,705494.0,790894.9,896102.0,1088597.9,,,
甘肃省,,127488.8,154481.7,182700.0,213310.4,291513.0,377178.1,,,
青海省,,52216.9,64685.6,74716.5,99545.8,123940.0,146978.1,,,
宁夏回族自治区,,44295.5,52976.4,61699.0,82125.0,88743.0,98953.7,,,
新疆维吾尔自治区,,415955.9,513890.6,622339.2,751241.1,896241.0,1119778.2,,,
数据来源：国家统计局
