数据库：分省年度数据
指标：固定电话年末用户(万户)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,695.0,784.6,831.3,867.6,883.2,883.9,885.6,893.1,884.9
天津市,,311.3,343.8,360.6,352.8,353.7,333.9,366.8,385.3,396.6
河北省,,850.6,978.2,1085.1,1152.4,1207.7,1242.7,1251.4,1343.9,1457.5
山西省,,343.7,444.6,554.2,584.4,685.2,682.2,720.7,758.8,803.0
内蒙古自治区,,268.1,324.5,359.1,377.2,368.3,379.5,414.1,441.6,462.5
辽宁省,,890.6,1036.2,1151.2,1222.4,1285.1,1352.1,1428.0,1529.1,1604.3
吉林省,,520.3,572.3,574.8,579.0,578.8,579.3,595.2,581.3,621.7
黑龙江省,,497.4,596.0,640.5,747.8,776.1,793.5,813.5,870.2,1028.0
上海市,,731.6,797.3,840.2,869.2,902.9,926.4,931.8,935.5,1015.4
江苏省,,1708.3,1973.0,2133.6,2289.8,2387.2,2370.9,2498.8,2662.4,2968.3
浙江省,,1287.2,1471.0,1641.9,1781.3,1882.5,1947.9,1985.5,2130.9,2297.6
安徽省,,613.9,739.4,839.8,976.7,1091.4,1243.9,1231.0,1267.3,1379.9
福建省,,815.7,888.5,933.3,983.5,1017.3,1015.0,1045.7,1244.8,1431.0
江西省,,517.5,568.4,577.4,622.4,644.2,673.9,709.6,748.5,846.9
山东省,,970.4,1118.0,1418.3,1707.6,1854.2,1896.6,1992.2,2217.3,2421.1
河南省,,798.6,1009.7,1143.0,1224.4,1288.7,1341.4,1426.8,1460.6,1562.4
湖北省,,731.7,872.5,907.4,984.0,1003.6,1020.3,1026.4,1088.3,1171.8
湖南省,,682.7,787.0,844.1,914.4,953.9,1011.6,1077.0,1166.9,1257.3
广东省,,2609.7,2807.1,2950.6,3099.9,3135.8,3147.1,3169.1,3366.7,3573.3
广西壮族自治区,,348.9,439.7,499.9,546.3,599.3,650.9,708.9,787.6,848.4
海南省,,169.2,171.0,170.0,173.6,173.0,175.0,179.8,182.8,224.7
重庆市,,541.6,559.6,579.5,580.3,575.7,571.3,582.7,627.7,678.9
四川省,,1490.1,1353.4,1294.2,1313.7,1347.1,1382.9,1419.1,1551.2,1660.4
贵州省,,258.7,312.5,339.1,363.0,380.4,404.0,431.2,451.1,499.6
云南省,,335.0,377.5,429.8,485.4,524.3,540.1,562.5,583.1,616.3
西藏自治区,,38.9,34.9,35.9,40.4,40.5,40.5,43.9,53.9,70.7
陕西省,,679.9,723.3,750.8,769.3,772.1,775.5,781.9,815.0,881.2
甘肃省,,312.3,326.0,341.3,364.3,377.8,396.4,411.9,453.9,519.0
青海省,,102.1,104.2,100.2,101.8,102.5,104.2,103.2,109.3,119.4
宁夏回族自治区,,70.5,84.4,102.7,104.7,105.0,108.5,111.9,114.5,121.5
新疆维吾尔自治区,,471.0,501.2,513.3,518.7,517.9,518.3,528.0,550.5,612.2
数据来源：国家统计局
