数据库：分省年度数据
指标：电信业务总量(亿元)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,,1181.88,889.89,757.04,631.23,566.45,1227.34,970.45,839.67
天津市,,,321.05,243.61,213.08,185.00,176.29,433.30,390.14,356.96
河北省,,,997.93,825.53,728.72,598.29,539.62,1351.63,1199.83,1057.91
山西省,,,515.93,431.13,392.27,338.94,305.62,735.93,635.07,562.48
内蒙古自治区,,,400.30,336.04,311.23,273.34,245.07,601.37,554.26,466.51
辽宁省,,,804.47,647.29,582.21,516.07,472.64,1171.63,965.11,826.70
吉林省,,,387.26,328.20,295.46,262.91,238.61,613.17,525.94,460.83
黑龙江省,,,511.44,430.47,377.34,329.81,307.77,745.58,697.15,605.50
上海市,,,1164.51,906.01,791.82,637.93,563.42,1275.24,1034.72,971.26
江苏省,,,2316.49,1680.33,1402.80,1120.36,986.55,2328.76,1812.88,1581.86
浙江省,,,2424.55,1682.62,1283.52,1025.09,901.29,2101.84,1736.68,1574.21
安徽省,,,823.46,630.02,533.98,418.10,369.19,887.55,703.42,562.68
福建省,,,1077.84,856.93,738.45,592.90,510.83,1214.39,999.18,890.23
江西省,,,620.07,445.81,379.23,310.38,279.20,692.00,592.68,493.78
山东省,,,1474.59,1212.65,1063.83,891.57,809.02,1960.68,1676.60,1499.52
河南省,,,1328.15,1011.06,837.83,680.03,603.67,1473.45,1278.56,1124.63
湖北省,,,965.75,719.09,610.16,491.29,431.77,1039.03,841.78,714.28
湖南省,,,906.66,744.88,595.29,491.21,439.94,1057.99,900.40,769.39
广东省,,,4378.78,3353.35,2768.09,2161.56,1888.00,4553.38,4149.11,3688.66
广西壮族自治区,,,651.53,502.10,435.26,366.36,326.55,821.89,694.30,588.30
海南省,,,183.92,139.43,126.42,104.89,93.80,224.66,191.98,160.60
重庆市,,,554.56,417.90,357.59,276.99,243.92,581.30,490.89,426.99
四川省,,,1297.59,1026.97,842.83,692.31,606.88,1450.69,1173.07,934.30
贵州省,,,515.16,381.67,331.77,262.05,219.32,512.47,465.57,371.96
云南省,,,792.58,566.85,452.75,363.44,324.07,773.04,678.98,577.88
西藏自治区,,,56.38,47.83,41.74,34.86,25.51,64.34,53.00,40.86
陕西省,,,760.97,566.60,477.84,386.41,348.55,857.24,746.57,641.65
甘肃省,,,365.61,277.52,238.71,189.88,172.29,423.15,361.75,287.60
青海省,,,105.38,80.75,67.46,57.04,48.29,114.30,90.82,84.13
宁夏回族自治区,,,135.42,102.63,80.43,65.66,57.58,135.20,119.99,97.24
新疆维吾尔自治区,,,404.80,349.26,317.07,263.36,231.81,555.95,462.64,379.87
注：邮电业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算。
数据来源：国家统计局
