数据库：分省年度数据
指标：移动电话年末用户(万户)
时间：最近10年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
北京市,,3869.0,3944.4,4076.4,3373.8,3168.0,2576.0,2129.8,1825.5,1616.3
天津市,,1499.8,1369.7,1351.8,1323.2,1325.2,1235.6,1089.8,992.5,865.0
河北省,,7121.0,6135.6,6229.1,6006.2,5513.1,5094.5,4353.6,3783.2,3214.1
山西省,,3365.7,3241.4,3332.3,3105.5,2764.6,2446.9,2205.2,1952.3,1698.5
内蒙古自治区,,2470.8,2377.1,2634.6,2690.6,2550.1,2316.2,2034.0,1616.0,1344.4
辽宁省,,4427.1,4289.8,4535.6,4583.6,4291.3,3836.5,3341.8,2882.1,2421.5
吉林省,,2654.8,2511.5,2612.3,2372.1,2257.0,2004.1,1805.4,1574.2,1362.9
黑龙江省,,3445.6,3329.8,3457.8,3020.4,2663.9,2376.6,2072.0,1865.9,1646.3
上海市,,3156.1,3132.4,3292.7,3200.7,3008.3,2620.6,2361.6,2113.2,1880.9
江苏省,,8198.8,7993.1,8070.4,7942.0,7471.4,6684.8,5923.1,4940.3,3957.0
浙江省,,7225.9,7283.7,7370.6,7071.8,6442.6,5756.0,5047.4,4456.3,3976.7
安徽省,,4343.0,4188.3,4215.9,3958.9,3609.8,3259.4,2798.7,2154.6,1715.1
福建省,,4159.0,4154.0,4276.7,4303.3,4049.2,3553.2,3021.8,2639.1,2368.1
江西省,,3140.7,3030.4,2938.5,2806.9,2573.4,2322.1,1811.3,1548.0,1277.3
山东省,,9594.5,9088.8,8664.1,8333.4,7588.9,7118.1,6190.4,5334.5,4627.9
河南省,,7889.0,7537.4,7712.9,7200.2,5787.6,5062.0,4402.0,3987.2,3501.0
湖北省,,4683.8,4530.5,4606.8,4416.8,4554.1,3953.7,3454.7,3136.9,2528.7
湖南省,,4993.6,4692.0,4726.1,4570.0,4262.0,3749.1,3257.0,2752.4,2240.3
广东省,,14349.0,14479.7,14943.4,14706.1,12468.0,10792.8,9624.6,8923.3,8395.7
广西壮族自治区,,3774.2,3594.9,3553.8,3285.6,2884.1,2532.7,2214.5,1960.1,1623.9
海南省,,942.3,894.1,907.4,858.3,775.6,671.6,594.3,496.4,397.8
重庆市,,2880.1,2737.7,2589.9,2380.8,2069.6,1801.2,1664.4,1440.9,1281.7
四川省,,7294.5,6798.3,6608.5,6283.3,5498.2,4817.9,4156.4,3466.9,2852.3
贵州省,,3082.7,2941.5,2885.3,2662.6,2321.4,2044.3,1800.6,1453.4,1179.0
云南省,,3942.8,3740.1,3748.5,3395.8,2895.8,2589.5,2244.5,1936.4,1635.9
西藏自治区,,284.4,268.7,291.8,265.6,235.5,196.4,157.6,124.0,87.0
陕西省,,3813.3,3567.1,3607.2,3512.5,3264.8,2907.2,2518.2,2337.4,1912.2
甘肃省,,2203.8,2105.3,2058.6,1976.2,1763.5,1614.7,1390.1,1194.7,895.3
青海省,,539.8,517.1,544.0,542.4,537.2,463.5,397.8,301.0,247.2
宁夏回族自治区,,716.4,636.6,688.3,627.2,591.0,520.5,437.3,382.8,323.3
新疆维吾尔自治区,,2132.1,2028.4,2077.4,2133.9,2010.6,1670.9,1359.9,1113.0,1051.3
数据来源：国家统计局
